"name","area"
"Березовая роща с/о","((57.1284715017055,65.3974956368649),(57.128824500189,65.3962779139721),(57.1274329080489,65.3945237492763),(57.1266145573326,65.3937539552891),(57.1256211339526,65.3931343650066),(57.1233220074666,65.398960122987),(57.1246116366673,65.4004836177074),(57.1260237581166,65.4019749259197),(57.1293846230798,65.4055261706554),(57.1301197714713,65.4029941653455),(57.1284715017055,65.3974956368649))"
"Солнечное с/о (Велижанский тракт)","((57.2523448117204,65.6086585232858),(57.2498791254831,65.6084224888925),(57.2476226448133,65.6119200894478),(57.2475761179952,65.6138727376107),(57.2486113261048,65.6136581608896),(57.2521470977127,65.6140014836434),(57.2523448117204,65.6086585232858))"
"Березовка д.","((57.67005671822,65.8112770822351),(57.6747560376793,65.8074978497331),(57.6771672553818,65.8018732574289),(57.6778311023206,65.8043167498415),(57.6794241680569,65.8003216721437),(57.6772080050795,65.7969172420366),(57.6757734245067,65.7922253516024),(57.6755665007084,65.783127298624),(57.67211759599,65.7831702139681),(57.6700940852642,65.7844684031313),(57.6672885760766,65.7881269362276),(57.667472550557,65.7901117708986),(57.6672885760725,65.7926115897005),(57.67005671822,65.8112770822351))"
"19-й мкр","((54.9030006602784,69.1534336938375),(54.9022319172528,69.1531573232482),(54.9019846149062,69.1533289846251),(54.9011507570664,69.1531819087184),(54.9008362366421,69.1531635788442),(54.8997020449692,69.1528918359729),(54.8964846190315,69.1524164717154),(54.8901479431077,69.1517876335027),(54.8902330695013,69.143800540041),(54.8903458435218,69.1419731000815),(54.9016028909017,69.1432501343252),(54.9024931806686,69.1433359650137),(54.9065642538511,69.1434151122676),(54.9100815038754,69.1412155592161),(54.9102479178164,69.1540533871808),(54.9052531136727,69.1533667416729),(54.9054014831621,69.1556841702618),(54.903769388572,69.1554266781964),(54.9035962837275,69.1535384030499),(54.9030006602784,69.1534336938375))"
"2 мкр","((57.1138865902834,65.59917831833),(57.1161875007948,65.6022058931356),(57.1210456713758,65.5896786986918),(57.1187380316987,65.5867027250295),(57.1180177737692,65.5878895397584),(57.1144807656057,65.5831903095642),(57.1150644536746,65.5809694404999),(57.112589552806,65.5776756878296),(57.1099043311317,65.5851215000549),(57.1125078315738,65.5886191006105),(57.1129864820734,65.5895417805116),(57.1128347155203,65.5978673572938),(57.1136168903287,65.5992835636537),(57.1138865902834,65.59917831833))"
"2-й Заречный мкр","((57.1722414917302,65.5579485652359),(57.1714081087441,65.5547942874343),(57.1767694038954,65.5533780810745),(57.1770578427172,65.5531795976074),(57.1773579332663,65.5530025718122),(57.1776070356843,65.5528872368245),(57.1777687328755,65.5528040883452),(57.1779362562349,65.5526887533576),(57.1781212594053,65.5523481128127),(57.1795954245579,65.5499019381912),(57.1822231377582,65.5543436763198),(57.1847749280064,65.5580773112685),(57.1833650566122,65.5636992213637),(57.1822464425464,65.5627121684462),(57.1819900887169,65.5639137980849),(57.1741587837843,65.557798361531),(57.1722414917302,65.5579485652359))"
"20-й мкр","((54.909127341484,69.1332638823019),(54.9098196608097,69.1334355436788),(54.910767409318,69.133336497246),(54.9109948777095,69.1335049757306),(54.9108712537611,69.1412297376935),(54.9100597591819,69.1411593366601),(54.9065486087326,69.1434338499047),(54.8972751672815,69.1422854416208),(54.8974235662958,69.1364489548043),(54.9022338703532,69.1371356003122),(54.905485754054,69.1343031875924),(54.9072661413452,69.1334019653634),(54.909127341484,69.1332638823019))"
"1 мкр","((57.1137744906982,65.5993050213258),(57.1136256459085,65.5995839710633),(57.1128230411438,65.5979317303102),(57.1129222732158,65.589606153528),(57.1125778783827,65.5888765926759),(57.1097408765818,65.585100042383),(57.1061213395916,65.5949061985415),(57.1123327140119,65.6033176060122),(57.1146728482688,65.6064300077323),(57.1161734355873,65.6023305530946),(57.1137744906982,65.5993050213258))"
"3 мкр","((57.1142005920665,65.573233949701),(57.1126362506232,65.5775683994691),(57.115181190208,65.5810016270082),(57.1145274609989,65.5831044788759),(57.117982755556,65.5879539127748),(57.1187239674598,65.5865162487427),(57.1211138367409,65.5895954246918),(57.122919996652,65.5849927540223),(57.1204106068042,65.581516611139),(57.1142005920665,65.573233949701))"
"5-й Заречный мкр","((57.1763156939575,65.6032839516351),(57.1775980301073,65.6027816759573),(57.1780878769402,65.6023652309681),(57.1790229622993,65.5909843987004),(57.1796886012794,65.5835344534528),(57.1799748037885,65.5803351937959),(57.1802227817741,65.5781240203121),(57.1803891872387,65.5772003071554),(57.1811988333373,65.5731068173638),(57.1794614419089,65.5726813519591),(57.177159845484,65.5828308308714),(57.175787559373,65.5879592145079),(57.1752543643507,65.5915426457518),(57.1754000468203,65.5927442753905),(57.1734245434599,65.602571889221),(57.1763156939575,65.6032839516351))"
"6 мкр","((57.1174224595165,65.5610889072816),(57.1277982288685,65.5742639179627),(57.132255762018,65.5628698940675),(57.1291402130721,65.5588573093812),(57.127891585853,65.5573767300049),(57.1266108238417,65.5556118364732),(57.1256101063991,65.5541902656953),(57.1239893533474,65.5521491046349),(57.1233022259268,65.5513954039017),(57.1208541392907,65.5479138966004),(57.1174224595165,65.5610889072816))"
"Автомобилист с/о","((57.2010863804388,65.962401286641),(57.1979417068252,65.9619292178544),(57.197592282049,65.9686240115556),(57.1969400135854,65.9707268634232),(57.1976854623139,65.9721430697831),(57.1983144229278,65.9717139163407),(57.2005739334389,65.9724434771928),(57.2010863804388,65.962401286641))"
"Автомобилист-2 с/о","((57.2104152916824,65.9849618102907),(57.2093557190843,65.9824083473085),(57.2073645715069,65.9798548843264),(57.2033120784881,65.9741042281985),(57.2026599114563,65.9753058578371),(57.203632334833,65.9776769306062),(57.2034867641037,65.9803913261293),(57.2058041816521,65.9841035034059),(57.2063398453399,65.9863780166505),(57.2083426925682,65.9898970748781),(57.2099262619844,65.9869788314699),(57.2104152916824,65.9849618102907))"
"Автоприбор с/о","((57.2566075951709,65.4339334856534),(57.2566131909286,65.4337580871828),(57.2565550466204,65.4335649681337),(57.2551072236421,65.4322453212984),(57.2547488639629,65.4321304732996),(57.2546616430356,65.4320768291193),(57.2544232381101,65.4317013198572),(57.2543360164089,65.4312614375788),(57.2529880798292,65.4300082732762),(57.2525752124695,65.4298580695714),(57.2527496640331,65.4304910708989),(57.2528310744791,65.4309738685215),(57.2528194444264,65.4322613288487),(57.252842704528,65.4325510074223),(57.2532613838367,65.4334629584873),(57.2534067574796,65.4337740947331),(57.2534997963089,65.4343641807164),(57.2534125724134,65.4353405047978),(57.2533486080915,65.4361988116825),(57.2530811197198,65.4374111701572),(57.2530636747583,65.4379690696323),(57.254600383274,65.4396913889141),(57.2566075951709,65.4339334856534))"
"Автотранспортник-2 с/о","((57.2054810225801,65.5775600594569),(57.2046891506956,65.5853491944362),(57.2009508192385,65.5810576600124),(57.2004150770492,65.5801993531277),(57.2005373666934,65.5766266507198),(57.2008692937346,65.5750280541469),(57.2032101677833,65.5756288689662),(57.2054810225801,65.5775600594569))"
"Агро с/о","((57.3056219069711,65.6320283748895),(57.3047973520208,65.6273935177118),(57.3064464433693,65.626878533581),(57.3083509353607,65.6357190944941),(57.3081883606346,65.6403110363276),(57.3072709611923,65.6422207691461),(57.3070445109568,65.6392274238855),(57.3059819181081,65.6365774013788),(57.3056219069711,65.6320283748895))"
"Агросад с/о","((57.1804223133365,65.7130279301147),(57.1807485954522,65.7132854221801),(57.1820303900556,65.7150234936218),(57.183475268603,65.7231559513549),(57.1831956191254,65.7248511074523),(57.1829217935996,65.7250656841735),(57.1822249221222,65.7243964518268),(57.1813276753349,65.7237312639911),(57.180884870158,65.7234308565814),(57.1804653656026,65.723345025893),(57.1799526313195,65.7234308565814),(57.1796831260034,65.7232797460192),(57.1794733674749,65.7231509999865),(57.1791004604728,65.7231295423144),(57.1788790451528,65.7229364232653),(57.1786110142915,65.7225931005114),(57.1804223133365,65.7130279301147))"
"Аккорд с/о","((57.232934540387,65.57148151099),(57.2335174877879,65.5791813020923),(57.2311552693902,65.5781513338305),(57.232934540387,65.57148151099))"
"Аккумуляторщик с/о","((57.1834247462608,65.4836749191925),(57.1831625745902,65.4825483914063),(57.1837218719303,65.4818939324066),(57.1840131692777,65.4814969654725),(57.1842986384259,65.4825483914063),(57.1838500430361,65.4831492062257),(57.1834247462608,65.4836749191925))"
"Аккумуляторщик-1 с/о","((57.1840002983733,65.4813335725001),(57.1835779163347,65.4798047133616),(57.1831060079131,65.4779271670512),(57.1828088772714,65.478270489805),(57.1821155631297,65.4790107794933),(57.1826224411428,65.4808507748775),(57.1828467469896,65.4816527553729),(57.1831060079054,65.4824547358683),(57.1840002983733,65.4813335725001))"
"Аккумуляторщик-2 с/о","((57.1278111045668,65.3872961180968),(57.128651308821,65.3852254527374),(57.1181415436721,65.3725761550231),(57.117426006119,65.3747236373873),(57.1278111045668,65.3872961180968))"
"Алексеевский с/о","((57.2012736148131,65.3062849836542),(57.2001671918731,65.3057270841791),(57.1996314382921,65.3085594968989),(57.198979205989,65.3088599043086),(57.1979076563663,65.3090959387019),(57.1989559117488,65.3116386728479),(57.1993053235786,65.3117781477167),(57.2012736148131,65.3062849836542))"
"Алексеевский хутор","((57.1994947083386,65.3085172225743),(57.1977010350099,65.3089892913609),(57.1960703469847,65.3077876617222),(57.1974214936409,65.3030669738561),(57.1990987100735,65.3038394500524),(57.1999372896218,65.3054702331334),(57.1994947083386,65.3085172225743))"
"Аленький цветочек с/о","((57.1866593846517,65.6497239351606),(57.1861771389127,65.6520339876747),(57.1857298407978,65.6545371592378),(57.1850475049829,65.657812136445),(57.184674076371,65.6570041067877),(57.1841142154252,65.6552519395572),(57.1841714459035,65.6545478880739),(57.1856198814617,65.6488481939172),(57.1862490483765,65.6486926257944),(57.1869015064154,65.6483653962946),(57.1866593846517,65.6497239351606))"
"Аманадское с. ","((56.8641340823962,66.0418421571346),(56.8664140843224,66.0376793687435),(56.8705506387095,66.0384518449398),(56.8732767529277,66.0442883317562),(56.8682473867012,66.048923188934),(56.8647217251054,66.0477215592953),(56.8632643541815,66.0460049455257),(56.8641340823962,66.0418421571346))"
"Андреевский ","((57.0647866921697,65.7996056550376),(57.0716127714573,65.7947991364829),(57.0721971374662,65.7952282899253),(57.0738449998637,65.7970736497276),(57.0740378300138,65.7989833825462),(57.0739501800717,65.8003781312339),(57.0735528310531,65.8075020783774),(57.0715660217845,65.8083603852622),(57.0693453438443,65.8116219514243),(57.0655348171599,65.8101628297203),(57.0642489679805,65.8123085969321),(57.0632319465024,65.8096049302451),(57.0593155680578,65.8049271577231),(57.0555390849621,65.8057854646079),(57.0550070726024,65.8046696656577),(57.0544750526046,65.8050988191001),(57.0528731000016,65.8012364381186),(57.0537325503578,65.8005068772666),(57.0537413201564,65.7988546365134),(57.0535586155881,65.7976851933829),(57.0551510382564,65.7963279956214),(57.056742296217,65.7948769205444),(57.0571871419752,65.7922201925151),(57.0624367396987,65.7918788814179),(57.0627292703965,65.7965157502525),(57.0647866921697,65.7996056550376))"
"Андрюшино","((57.7598589360363,65.9706351400499),(57.7602374096518,65.9703561903123),(57.7605585356598,65.9718582273606),(57.7607420349496,65.9751841665391),(57.7608681901688,65.9761068464402),(57.7613039957061,65.9771368147019),(57.7619462258284,65.978402817357),(57.763058633035,65.977501595128),(57.7621985273844,65.9727379919175),(57.7609255333041,65.9734460950975),(57.7608108469422,65.971386158574),(57.7603520978407,65.9690687299851),(57.760707628904,65.9687683225755),(57.7600195010783,65.9652707220201),(57.7596410251799,65.9654638410692),(57.7600539077897,65.9628674627427),(57.7612695901976,65.9631464124803),(57.7615907069979,65.9623524786119),(57.7619806306902,65.9619447828416),(57.7619232892356,65.9584900976304),(57.7620379720534,65.9565159917954),(57.7624737634287,65.9544989706162),(57.7621182498084,65.951387608159),(57.7625196358981,65.9510872007493),(57.7632077159245,65.9502288938645),(57.7636445292583,65.9493925668803),(57.7632087520573,65.9483625986186),(57.7617523004986,65.9497573473063),(57.7602269770314,65.950594196519),(57.7600664128986,65.9504869081583),(57.7594929637578,65.9513666727152),(57.7572908341381,65.9529759981242),(57.7570958474201,65.9528472520914),(57.7560406068597,65.9473970033732),(57.7554556232243,65.9474184610453),(57.7554326824959,65.9484055139628),(57.7563847104325,65.9532120325174),(57.7550082763843,65.9543707468119),(57.7541479783779,65.9531476595011),(57.7531109409682,65.9531019566346),(57.7519821020878,65.9528845923911),(57.7511446752531,65.9557599204551),(57.7505137243635,65.9578627723228),(57.7511676187135,65.9585708755027),(57.7515117688656,65.9576052802573),(57.7522803589969,65.9585279601584),(57.7526589122856,65.95844212947),(57.7535421878167,65.9599227088462),(57.7543795588974,65.9646433967124),(57.7552742626421,65.9674328940879),(57.7553086738806,65.9682482856284),(57.7563958873896,65.9705806415643),(57.758341643822,65.9703131813217),(57.7576075921071,65.9652277130295),(57.7584792768523,65.9644552368332),(57.7586971947409,65.9646483558823),(57.7598589360363,65.9706351400499))"
"Антипино","((57.093175907253,65.7186000476968),(57.095091474844,65.7174842487466),(57.0952783541567,65.7132785450112),(57.1017951789599,65.7138579021584),(57.108217447034,65.713235629667),(57.110575890381,65.7110362182748),(57.1135762663095,65.7114814649712),(57.1122745767518,65.7165964375626),(57.1116704137551,65.7230163048397),(57.111461727137,65.73626842903),(57.1147950993485,65.7387660685371),(57.1147195846693,65.7460702265988),(57.1129423915364,65.7489927447776),(57.111725503901,65.7520869243334),(57.111489272376,65.770630627815),(57.1108176232071,65.7735494055695),(57.1097723527336,65.776468183324),(57.1070278609138,65.7793874954248),(57.1039562053098,65.7795602254945),(57.1039939850799,65.781963751945),(57.1025648780524,65.7821355469085),(57.1002620821103,65.7819639523249),(57.0995007489423,65.7739817650898),(57.0958857054284,65.7440273891579),(57.0941103428795,65.7275264392983),(57.093175907253,65.7186000476968))"
"Антропово","((57.8110000277775,65.8589014488888),(57.8125060210336,65.8593949753475),(57.8138287235083,65.8605751473141),(57.8179396696471,65.8702310997678),(57.8156953116889,65.8709606606198),(57.8150540407983,65.8724626976681),(57.8141379196652,65.872806020422),(57.8134050059357,65.8742651421261),(57.8125002949369,65.8741578537655),(57.8118246098429,65.8750805336666),(57.8096371353363,65.8745870072079),(57.8092992674622,65.8712932545376),(57.8090072096143,65.860017247839),(57.8110000277775,65.8589014488888))"
"Аракчина д.","((57.460293590619,65.6199005906966),(57.4594089153335,65.6198147600081),(57.4593048344667,65.6163386171248),(57.4592817053585,65.6098154848005),(57.4588191198731,65.6096867387679),(57.4588653786882,65.6071118181136),(57.4581367955557,65.607197648802),(57.4580558409577,65.6118861501601),(57.4580674059158,65.6165317361739),(57.4578939312684,65.6215313737776),(57.4575007189929,65.621788865843),(57.4575238492422,65.6244067018416),(57.4602993727596,65.6245354478744),(57.460293590619,65.6199005906966))"
"Аргентина КП","((57.1240097659611,66.0256618883718),(57.1228893484142,66.0254473116505),(57.122650304541,66.0358797785711),(57.124004146913,66.0334872481298),(57.1257664017754,66.030815767951),(57.1240097659611,66.0256618883718))"
"Архангельское с.","((56.520667876051,65.6582056027899),(56.5305113076322,65.6519399625311),(56.5349222291645,65.6602655393134),(56.533025121815,65.6768094045172),(56.5284716749066,65.6713806134711),(56.5233483901572,65.674255941535),(56.520667876051,65.6582056027899))"
"Архип с/о","((57.0326854505503,65.8656477121285),(57.0324514554239,65.8614420083932),(57.034463765227,65.8597253946236),(57.0364759656435,65.8617853311471),(57.0373182496037,65.8644460824898),(57.0349785245823,65.8671068338326),(57.0326854505503,65.8656477121285))"
"Аслана с.","((56.871461439442,66.5072844998992),(56.8694402753744,66.510674812094),(56.8680300959496,66.5114043729461),(56.8653506079455,66.507069923178),(56.8644574024434,66.5068553464568),(56.8635641755239,66.5081857221282),(56.862435858275,66.5067695157684),(56.8608608583059,66.5103314893401),(56.8613310145218,66.5109752195037),(56.8630000211712,66.5105889814056),(56.8641988389588,66.5148376004852),(56.8637757312036,66.5163825528777),(56.8652800925003,66.5223907010711),(56.8662672965854,66.5276692884124),(56.8684296522074,66.5299008863128),(56.8720489665587,66.5260385053314),(56.8800021511734,66.5232490079558),(56.8800021511734,66.5181849973357),(56.8753261773962,66.5087865369476),(56.8733522232594,66.5109752195037),(56.871461439442,66.5072844998992))"
"Ахманы д.","((57.5290033194628,64.9798466009828),(57.5284723645099,64.9798251433107),(57.5284492793359,64.9810911459657),(57.5293842171475,64.9812842650148),(57.5294073017273,64.9825502676698),(57.5300190377451,64.9825288099977),(57.5301344584798,64.9790097517702),(57.5314271456482,64.9808551115724),(57.5316926024971,64.9801899237367),(57.5321080962782,64.9803615851136),(57.532200427584,64.9797393126222),(57.5324889614015,64.9790955824586),(57.531184770309,64.9768425268861),(57.5312078537443,64.9763275427552),(57.5315310202984,64.9763919157716),(57.5319465159282,64.9762202543946),(57.5322581345309,64.9743748945924),(57.5327082455697,64.9743319792482),(57.532719786805,64.9728513998719),(57.5323389241025,64.9708987517091),(57.5286108752459,64.9692035956117),(57.5284723645099,64.9701906485292),(57.5282876827069,64.9705554289552),(57.5282645974155,64.9715210242006),(57.528079914556,64.9736882490846),(57.5284723645019,64.9738384527894),(57.5284146515473,64.9745680136415),(57.5292572516964,64.9747396750185),(57.5292341670213,64.975748185608),(57.5290841162752,64.9772931380006),(57.5290033194628,64.9798466009828))"
"Бабарынка","((57.1806500018556,65.4587568901654),(57.1816754438464,65.4610743187542),(57.185124448176,65.4713740013714),(57.1811627264242,65.4758264683361),(57.1764780228409,65.4807939194316),(57.1756585754384,65.482618492114),(57.1753286061527,65.4829839430923),(57.1750452526586,65.481793712842),(57.1747637180499,65.4806514270777),(57.1748318255833,65.4793374799366),(57.1750503515945,65.4773445986385),(57.1759069609848,65.4730584286327),(57.1770490758133,65.4675759934063),(57.176897572841,65.4633488319989),(57.1779231193663,65.459958519804),(57.178412574677,65.4566111229534),(57.1788087956439,65.455109085905),(57.1806500018556,65.4587568901654))"
"Бавария КП","((57.1562330504406,65.725928429075),(57.1540990912323,65.7253919872721),(57.1530962043107,65.732408646055),(57.1529446027509,65.7327305111368),(57.1536442970534,65.7328807148416),(57.1533994055667,65.7345758709391),(57.1551098281817,65.736765269102),(57.1562330504406,65.725928429075))"
"Бархатово пос.","((56.4733735155166,65.1979947959441),(56.4748101086575,65.2004624282378),(56.4750116207181,65.2029300605315),(56.4743695988156,65.2080369864959),(56.4782156294798,65.2122426902312),(56.4775476862047,65.2184224998016),(56.4798156767306,65.2290655051726),(56.4793169679806,65.2347303306121),(56.4726668891023,65.238850203659),(56.4715030050134,65.2428842460173),(56.4720136932531,65.2440429603118),(56.4689910310339,65.2476263915557),(56.471090292608,65.2244413768309),(56.4725997143344,65.2219938611048),(56.4734969139717,65.219911796357),(56.4730639969379,65.2173147474784),(56.4687193358962,65.2143938218612),(56.4697689888153,65.2024579917449),(56.4733735155166,65.1979947959441))"
"Белая Дуброва","((57.5967693152355,65.5842964354847),(57.5961241407455,65.5827729407643),(57.5943268083208,65.5830304328297),(57.59511459239,65.5874319378231),(57.5947041402955,65.5937217179631),(57.5949892969785,65.6128244105671),(57.5951909215595,65.6156675521228),(57.5956863372019,65.6228129569385),(57.5965043342468,65.6228344146107),(57.5968614821024,65.6243149939869),(57.5965561784868,65.618226379523),(57.5961270209765,65.6132079664561),(57.5961529433763,65.6077657643648),(57.5961817460484,65.5977396670672),(57.5972848705032,65.597162992129),(57.5973741558857,65.59607133306),(57.5973842364773,65.5901396278236),(57.5969334872631,65.5898727480266),(57.5967693152355,65.5842964354847))"
"Беляковское","((56.9912148759665,64.1955402613864),(56.9912031631397,64.1946819545016),(56.9908400636727,64.1942420722232),(56.9908634895521,64.1938343764529),(56.9909923316241,64.1937270880923),(56.9910743218004,64.1934481383548),(56.9922865839604,64.1926220179782),(56.9920991837047,64.1913452864871),(56.9912734400451,64.1914203883395),(56.9911914503091,64.190959048389),(56.9909220541858,64.1860559703098),(56.9915135518001,64.1859701396213),(56.9914667008481,64.1854766131625),(56.9908927718805,64.185562443851),(56.9908107813027,64.1840496779666),(56.9900728579425,64.1841676951632),(56.9902954078043,64.1884270430789),(56.9892587825933,64.1885343314395),(56.9892330888655,64.1876218504535),(56.98854198881,64.1876969523059),(56.9885654161415,64.1886410898791),(56.9882725734342,64.1886625475512),(56.9882257183788,64.1866562552081),(56.9876693101672,64.1867313570605),(56.9873764603822,64.1876862234698),(56.9869196100991,64.1876969523059),(56.9868668962427,64.1942415423023),(56.9865096114627,64.1929433531391),(56.9858946050077,64.1929433531391),(56.9858770332448,64.1933725065814),(56.9864920399913,64.1934368795978),(56.986535871718,64.1965498605314),(56.9865241574129,64.1971828618589),(56.986266441765,64.1990711370055),(56.9862781561515,64.1999723592345),(56.9861082971852,64.2012920060698),(56.9850949844264,64.2014314809386),(56.9850071236341,64.2044999280516),(56.985042267976,64.2056838068531),(56.984995408846,64.2065099272297),(56.9848665459334,64.2071321997212),(56.9847786845998,64.2080977949665),(56.9856514312768,64.2082050833271),(56.9858915794432,64.2095998320148),(56.985815435071,64.209814408736),(56.9856572885676,64.2120245489643),(56.9855870010163,64.2125502619312),(56.9860262960264,64.2126790079639),(56.9856865750081,64.2150071653888),(56.9852882774367,64.2147818598316),(56.9850188384184,64.2166272196338),(56.9862781561515,64.2171207460926),(56.9868638707575,64.2131725344227),(56.987350006854,64.2135587725208),(56.9879825599431,64.2134192976521),(56.9879884168658,64.2139664682911),(56.9887088112931,64.2138913664387),(56.9886912408639,64.2133227381275),(56.9895521820978,64.2131939920948),(56.9895638954538,64.2136767897175),(56.9903100722926,64.2136073228196),(56.9902983591799,64.2130708810166),(56.9901109488737,64.212588083394),(56.9900758093358,64.2116761323289),(56.9894257218774,64.2116654034929),(56.9893964383902,64.2098415013627),(56.9882309368227,64.2096912976579),(56.9882777918639,64.2091977711992),(56.9889220426761,64.2091548558549),(56.9890157509526,64.2078566666917),(56.9883949292078,64.2076850053147),(56.988453497741,64.2069876309709),(56.9888869020114,64.2069769021349),(56.9889571833075,64.205026142343),(56.9885237798588,64.2049724981627),(56.9883070762345,64.2035562918028),(56.9882543643507,64.2001981661161),(56.9899059677665,64.1998977587065),(56.9899001111468,64.1990179941496),(56.9893378713465,64.1990716383299),(56.989203166795,64.1958100721678),(56.9912148759665,64.1955402613864))"
"Бензострой","((54.8748452602771,69.2151350661858),(54.8766270083503,69.2197699233635),(54.8788045929983,69.2197699233635),(54.8785076565964,69.2407126113518),(54.8767259920345,69.2420859023674),(54.8769239586706,69.2463774367912),(54.8727664541956,69.2520422622307),(54.871875504337,69.247064082299),(54.8702915446371,69.2489523574455),(54.869400539833,69.2467207595451),(54.8692025360791,69.2389959975822),(54.8643511389643,69.2374510451897),(54.8656383014682,69.2266363784416),(54.8640540956021,69.2264647170647),(54.8653412676306,69.2192549392326),(54.8637570500418,69.2192549392326),(54.859348809597,69.1716328345203),(54.8614178941991,69.170913930893),(54.8607278055575,69.1581947390423),(54.8627747556094,69.1539971399222),(54.8643452651315,69.1510448553291),(54.8652363821606,69.1537914373603),(54.8659294595068,69.1520748235908),(54.8645432928475,69.1493282415596),(54.8667079219605,69.150255003924),(54.8682920230933,69.1483667287776),(54.8756094566218,69.1593603226661),(54.875422850438,69.1714128219795),(54.8744801614804,69.1774220397807),(54.8721220294471,69.1841880025196),(54.8750269013768,69.1930421554756),(54.8748452602771,69.2151350661858))"
"Бердюгино с.","((56.8177603499215,66.3973393361423),(56.8185134670546,66.4026179234836),(56.8188429510209,66.4024677197788),(56.8189959247307,66.4036693494174),(56.8190782949227,66.4078321378085),(56.8162531071014,66.4156170466283),(56.8100873898573,66.413932279372),(56.8084277838958,66.4193825280903),(56.8031542199741,66.4196400201558),(56.8005175800887,66.4149604945679),(56.7996581404182,66.4105831294556),(56.8023600013653,66.4094067368873),(56.8055619649769,66.4060164246925),(56.8080633079819,66.403226927317),(56.8107763399854,66.3999224458106),(56.8113765937439,66.3993001733191),(56.8142129564169,66.3980341706641),(56.8147660808605,66.3977981362708),(56.8148602288942,66.3985062394507),(56.8177603499215,66.3973393361423))"
"Бердюжье с.","((55.8145734496722,68.3099042067973),(55.8142387352324,68.3119962460099),(55.8131826572995,68.3144637106655),(55.8099104075895,68.314935444176),(55.8068455853171,68.312102360904),(55.8051627755079,68.3043762578367),(55.8058576609445,68.2964771522878),(55.8060872725249,68.288232041776),(55.8055797082653,68.2871913446782),(55.8024374958814,68.2880281938909),(55.8028242434581,68.2900452150701),(55.8006003922239,68.2884144319891),(55.7924774170496,68.2909893526434),(55.7890923418515,68.2909893526434),(55.7887538180766,68.3109020723699),(55.7931302189896,68.3242916597722),(55.7950281177928,68.3232616915105),(55.7947198666657,68.3272957338689),(55.7971767414524,68.335063411176),(55.8197693647801,68.3222102655767),(55.8205138195972,68.3127903475164),(55.8145734496722,68.3099042067973))"
